,GUID,Material,Type
0,1QNxzag7L3bAmckf5lksJE,[],Fire Protection Wet
1,1QNxzag7L3bAmckf5lksKB,[],Fire Protection Wet
2,1QNxzag7L3bAmckf5lksIY,[],Fire Protection Wet
3,1QNxzag7L3bAmckf5lksIp,[],Fire Protection Wet
4,1QNxzag7L3bAmckf5lksG7,[],Exhaust
5,1QNxzag7L3bAmckf5lksGd,[],Exhaust
6,1QNxzag7L3bAmckf5lk9lT,[],Fire Protection Wet
7,1QNxzag7L3bAmckf5lk9lz,[],Fire Protection Wet
8,1QNxzag7L3bAmckf5lk9gC,[],Fire Protection Wet
9,1QNxzag7L3bAmckf5lk9yF,[],Fire Protection Wet
10,1QNxzag7L3bAmckf5lk93Z,[],Fire Protection Wet
11,1QNxzag7L3bAmckf5lk88O,[],Fire Protection Wet
12,3oiVDtBcf02BKgGsBmXqjv,['No material is associated with this element'],Fire Pump Disel:Fire Pump Disel
13,2Pqe8tV0HCUvnKA2UByhNH,['No material is associated with this element'],Fire Pump EE:Fire Pump EE
14,0ZgIsHPWzCnP2RuLaoCw5D,['No material is associated with this element'],Fire Pump Disel:Fire Pump Disel
15,0ZgIsHPWzCnP2RuLaoCw69,['No material is associated with this element'],Fire Pump EE:Fire Pump EE
16,1FI1NdEM92$x0VSADubCaH,"['Concrete, Aerated with thickness 300.0 \n']",Floor:Generic 300mm
17,1FI1NdEM92$x0VSADubCbz,"['Concrete, Aerated with thickness 300.0 \n']",Floor:Generic 300mm
18,1FI1NdEM92$x0VSADubDWa,"['Concrete, Aerated with thickness 300.0 \n']",Floor:Generic 300mm
19,1FI1NdEM92$x0VSADubDRv,"['Concrete, Aerated with thickness 300.0 \n']",Floor:Generic 300mm
20,3oiVDtBcf02BKgGsBmXqn5,[],M_Foundation-Rectangular:3600 x 1600 x 150mm
21,2Pqe8tV0HCUvnKA2UByhMj,[],M_Foundation-Rectangular:3600 x 1600 x 150mm
22,0ZgIsHPWzCnP2RuLaoCw5C,[],M_Foundation-Rectangular:3600 x 1600 x 150mm
23,0ZgIsHPWzCnP2RuLaoCw68,[],M_Foundation-Rectangular:3600 x 1600 x 150mm
24,1FI1NdEM92$x0VSADubCOX,"['Concrete, Aerated with thickness 250.00000000000003 \n']",Basic Wall:250
25,1FI1NdEM92$x0VSADubCVu,"['Concrete, Aerated with thickness 250.00000000000003 \n']",Basic Wall:250
26,1FI1NdEM92$x0VSADubCSR,"['Concrete, Aerated with thickness 250.00000000000003 \n']",Basic Wall:250
27,1FI1NdEM92$x0VSADubCGu,"['Concrete, Aerated with thickness 300.0 \n']",Basic Wall:Generic - 300mm
